"T2010","TCRE","CO22010","cumuCO2result","costs.slope"
"1",0.143989168759881,0.103083126939493,-0.146833272509072,-0.235854873783563,-0.974477911309874
"1.1",0.148451064594077,0.145755176262374,-0.151581949936235,-0.265011700313718,-0.966902454071501
"1.2",0.15288158639399,0.191352300735077,-0.156313465424792,-0.300342376994384,-0.956294463388042
"1.3",0.157194400497975,0.239782165121541,-0.160939626416979,-0.341089042022605,-0.942098866875007
"1.4",0.16128322883978,0.290821702575052,-0.165351316019646,-0.386443149037791,-0.923737036533668
"1.5",0.165022930427694,0.344087734858434,-0.169419444112015,-0.435540440448821,-0.900642959265608
"1.6",0.168273533897253,0.399015025779754,-0.172998934589683,-0.487429888574179,-0.872314288747284
"1.7",0.170887948463538,0.454849726842155,-0.175936527866221,-0.541048630183281,-0.838376084035438
"1.8",0.172723472935156,0.510666459515439,-0.178082561712275,-0.595222141534412,-0.798650238458705
"1.9",0.173656193004809,0.565414696820144,-0.179305834448506,-0.648698682332561,-0.753218400378332
"2",0.173596128629703,0.617994053767854,-0.179509375809575,-0.700217465411863,-0.702462824145405
"2.1",0.172500054170747,0.667349631180327,-0.178643953889682,-0.748600136741538,-0.647070689756006
"2.2",0.170378838305396,0.712570712356896,-0.176716030228491,-0.792846948578368,-0.587994372026217
"2.3",0.167297236647637,0.752972742746016,-0.173787961598122,-0.832215924844413,-0.526371456892502
"2.4",0.163366036693957,0.788145973523104,-0.169970262862754,-0.866267467847732,-0.463419657881886
"2.5",0.158728501512067,0.817963397243258,-0.165407871667284,-0.894866934675217,-0.400328192178152
"2.6",0.153544322010117,0.842551612654198,-0.160263694932587,-0.918149375684906,-0.338166058273259
"2.7",0.147974356281302,0.862236463488231,-0.154702828201668,-0.936459116954093,-0.27782031571404
"2.8",0.142168518703059,0.877478218875492,-0.148879922982433,-0.950279700456071,-0.219967845598033
"2.9",0.136257864236782,0.888809115386495,-0.142930828926221,-0.960167437684794,-0.165076117026637
"3",0.130350754610549,0.896781494035484,-0.136968437124047,-0.966696902093731,-0.113424237341909
"3.1",0.124532284714268,0.901929914594963,-0.131081906599942,-0.970421582352357,-0.0651349262506009
"3.2",0.118865903219145,0.904746979828891,-0.125338189452285,-0.971849145333666,-0.020209725188761
"3.3",0.11339623954595,0.905670564264675,-0.119784839213087,-0.971428702785621,0.0214377146238101
"3.4",0.10815238085249,0.905079449235888,-0.11445331879399,-0.969546827869056,0.0599530333924056
"3.5",0.103151101883008,0.903294517783159,-0.109362288509752,-0.966529287357185,0.0955182349350159
"3.6",0.0983997701023559,0.900583206684307,-0.104520580532075,-0.962646064521768,0.128334295296218
"3.7",0.0938988064974263,0.897165545645665,-0.0999297298212888,-0.958117932653858,0.158608601435059
"3.8",0.0896436821539403,0.893220677679027,-0.095586035757555,-0.953123439690163,0.186546310037624
"3.9",0.0856264856033938,0.888893192435358,-0.0914821866690603,-0.947805625190464,0.212344726287247
"4",0.0818371205448149,0.884298913723216,-0.087608506019142,-0.942278113390077,0.236189915103664
