"T2010","TCRE","CO22010","cumuCO2result","costs.slope"
"1",0.162353045949391,0.117068319055204,-0.167710508444089,-0.267730840697478,-0.966777678761754
"1.1",0.167114677867542,0.165624056329334,-0.172746875745094,-0.3005664586782,-0.957070167800006
"1.2",0.171677248679754,0.217103063550594,-0.177585606508133,-0.340028707287986,-0.943590344054996
"1.3",0.175912901888701,0.271205097630005,-0.182094082858053,-0.385021593200614,-0.925752345392746
"1.4",0.179676375476846,0.327451892269364,-0.186121275748326,-0.434373556708944,-0.903006244730247
"1.5",0.182811988841859,0.385172269355128,-0.189504910520132,-0.486849504719061,-0.87489646452105
"1.6",0.185164677972603,0.443507845448665,-0.192082860360203,-0.541145542173292,-0.841129387379995
"1.7",0.186594464834665,0.501446475020984,-0.19370815313216,-0.595901544922493,-0.801640108741181
"1.8",0.186992486690967,0.557885833644348,-0.19426566524426,-0.649745765143885,-0.756644003440222
"1.9",0.186295588165679,0.611721792565379,-0.193687398150332,-0.70136896627336,-0.706657947240107
"2",0.184496091907766,0.661947798939871,-0.191962812096331,-0.749613449848055,-0.6524806117326
"2.1",0.181644140357904,0.707746060145994,-0.189141478425318,-0.793555962632689,-0.59513091665763
"2.2",0.177841837896267,0.748552034492823,-0.18532720752136,-0.832564498325681,-0.535755184728179
"2.3",0.173230618829455,0.784080860857905,-0.180665092581823,-0.866316935708642,-0.475521943098178
"2.4",0.167974893801505,0.814314909759801,-0.17532461466699,-0.894780769583216,-0.415525095270672
"2.5",0.162245484573249,0.839461082790403,-0.169482450684018,-0.918163076682108,-0.356711222249975
"2.6",0.156205676334758,0.859891484102426,-0.163307937020913,-0.936844912885742,-0.299838088833194
"2.7",0.150001419649651,0.876080995840589,-0.156952803876962,-0.951314037539108,-0.245462995691657
"2.8",0.143755918872634,0.888551722955451,-0.15054545047537,-0.962106000457993,-0.193954125485512
"2.9",0.137567947840118,0.897829576762578,-0.144189095178134,-0.96975869201259,-0.145516111789545
"3",0.131512833022966,0.904414226936219,-0.137962710916559,-0.974781290002521,-0.10022183797522
"3.1",0.125645031047105,0.908761044905231,-0.13192363585995,-0.977635906817337,-0.0580445848648747
"3.2",0.120001427577146,0.911272463120069,-0.126110952437343,-0.978729083729399,-0.0188869701382577
"3.3",0.114604750900761,0.912295979336832,-0.120549001949025,-0.978410152323196,0.0173949647525802
"3.4",0.109466737677329,0.912126388374232,-0.115250654648367,-0.976973905154417,0.0509728602258717
"3.5",0.104590873826661,0.911010380902533,-0.110220147911761,-0.974665631074433,0.0820319292468466
"3.6",0.0999746566459116,0.909152205498442,-0.105455433508959,-0.971687167689658,0.110760887097168
"3.7",0.0956113961430937,0.906719553499425,-0.100950050331404,-0.968203112849321,0.137345093219257
"3.8",0.0914916092196971,0.903849171947542,-0.0966945765906385,-0.964346698118892,0.161962135840515
"3.9",0.087604073032001,0.900651948227538,-0.092677729212276,-0.960225073445721,0.184779207776915
"4",0.0839366035285177,0.897217363416305,-0.0888871782083324,-0.955923908968623,0.205951753403339
