"T2010","TCRE","CO22010","cumuCO2result","p.sample"
"1",0.283923486316634,0.202377717280728,-0.340145891575701,-0.488017972085183,0.833906003032689
"1.1",0.257727310626425,0.262253124037833,-0.310725978190239,-0.481464657111322,0.842253875686442
"1.2",0.234958984592493,0.310653300731028,-0.284694058489116,-0.481386150463225,0.844772723639734
"1.3",0.215228698386499,0.350322020235125,-0.261863394884023,-0.485080551894138,0.844031320717097
"1.4",0.198092018310126,0.383260210873213,-0.241860687125297,-0.490810804847036,0.841455207051215
"1.5",0.183140760594974,0.410940484345498,-0.224292600279473,-0.497514327091643,0.837869622164699
"1.6",0.170025440098508,0.434459005635806,-0.208800414866005,-0.504561732838925,0.833764525553707
"1.7",0.158455083311632,0.454641882465664,-0.195074368677809,-0.511590996416468,0.829434946248401
"1.8",0.148190060574313,0.472119594271229,-0.182853192015215,-0.518401789203672,0.825059298508295
"1.9",0.139033581933047,0.487379305488415,-0.171918662449535,-0.524890416134845,0.820744745699591
"2",0.130823821561581,0.500801937367668,-0.162089043264971,-0.531010341145023,0.816554241399642
"2.1",0.123427231211805,0.512688706193129,-0.153212867933115,-0.53674836930803,0.812523022252232
"2.2",0.116733076081351,0.523280331798604,-0.145163544989045,-0.542110299585022,0.808668856602169
"2.3",0.11064904802562,0.532771099389905,-0.137834857485142,-0.547112293004415,0.804998510020701
"2.4",0.105097770213214,0.541319270400362,-0.131137280557213,-0.551775697078836,0.801511873258971
"2.5",0.10001401775886,0.549054875497731,-0.124994995592835,-0.556123967829908,0.798204621304786
"2.6",0.0953425052157373,0.556085610089364,-0.119343477490015,-0.560180869160168,0.795069936032112
"2.7",0.0910361200831054,0.562501339689106,-0.114127545256543,-0.563969451442053,0.792099624593073
"2.8",0.0870545066821458,0.568377576213206,-0.109299784050009,-0.567511504906369,0.789284843944467
"2.9",0.083362925574586,0.573778184824988,-0.104819263972987,-0.570827300719754,0.786616566593143
"3",0.0799313302841092,0.5787575099037,-0.100650495870504,-0.573935504230107,0.784085875328416
"3.1",0.0767336160439947,0.583362058463771,-0.0967625766988283,-0.5768531888834,0.781684144557683
"3.2",0.0737470053308181,0.58763184345864,-0.0931284869398632,-0.579595906578427,0.779403146401397
"3.3",0.0709515426824317,0.59160146351856,-0.0897245103867441,-0.582177787209109,0.777235107000258
"3.4",0.0683296772601346,0.595300976829213,-0.0865297528045441,-0.584611650769827,0.775172730110092
"3.5",0.0658659162136103,0.598756613017346,-0.0835257408164977,-0.586909122063713,0.773209199485445
"3.6",0.0635465354636384,0.601991356654875,-0.0806960861657938,-0.589080742233503,0.771338167814452
"3.7",0.061359337277456,0.605025428331303,-0.0780262034851969,-0.59113607394689,0.769553737443527
"3.8",0.0592934461618907,0.607876683474406,-0.0755030720525719,-0.593083798688345,0.767850436416993
"3.9",0.0573391362819174,0.610560944720655,-0.0731150338610478,-0.594931805599371,0.766223192188735
"4",0.0554876849347928,0.613092280289754,-0.0708516217975741,-0.596687271899529,0.764667304564336
